SYMBOL,SERIES,Adjusted 52_Week_High,52_Week_High_Date,Adjusted 52_Week_Low,52_Week_Low_DT
JISLJALEQS,EQ,36.2,15-Jul-21,10.25,07-Aug-20
JITFINFRA,BE,34.85,05-Aug-21,5.65,05-Aug-20
JIYAECO,BE,12.45,25-Aug-20,4.55,11-May-21
JKCEMENT,EQ,3437.6,04-Aug-21,1414,09-Sep-20
JKIL,EQ,232,26-Jul-21,92.4,05-Aug-20
JKLAKSHMI,EQ,816,29-Jul-21,243.2,09-Sep-20
JKPAPER,EQ,274.95,05-Aug-21,86.3,30-Oct-20
JKTYRE,EQ,164.8,04-Aug-21,54.6,25-Sep-20
JMA,EQ,76.8,03-Aug-21,22.75,10-Aug-20
JMCPROJECT,EQ,130,30-Jul-21,45,03-Nov-20
JMFINANCIL,EQ,117.7,16-Jul-21,72.95,05-Aug-20
JMTAUTOLTD,EQ,3.85,08-Jan-21,2.2,22-Apr-21
JOCIL,EQ,319.8,27-Jul-21,139,31-Mar-21
JPASSOCIAT,BE,15.65,17-Jun-21,2.7,25-Sep-20
JPINFRATEC,EQ,3.9,17-Jun-21,1.15,23-Oct-20
JPPOWER,EQ,6.85,13-Jul-21,2.05,25-Sep-20
JSL,EQ,168.4,30-Jul-21,37.1,05-Aug-20
JSLHISAR,EQ,304,30-Jul-21,71,05-Aug-20
JSWENERGY,BE,258.3,28-Jul-21,44.75,07-Aug-20
JSWHL,EQ,6000,03-Jun-21,1832,05-Aug-20
JSWISPL,BE,67.55,12-May-21,12.35,05-Aug-20
JSWSTEEL,EQ,773,10-May-21,228.15,05-Aug-20
JTEKTINDIA,EQ,132.9,03-Aug-21,63.3,11-Aug-20
JUBLFOOD,EQ,3829.85,03-Aug-21,1812.55,05-Aug-20
JUBLINDS,EQ,436,28-Jul-21,115.6,05-Aug-20
JUBLINGREA,EQ,671.6,22-Jul-21,241.3,30-Mar-21
JUBLPHARMA,EQ,1046.95,03-Feb-21,634.1,25-Mar-21
JUMPNET,EQ,105.9,21-Aug-20,5,17-May-21
JUNIORBEES,EQ,475.45,02-Aug-21,241.05,10-Aug-20
JUSTDIAL,EQ,1138,14-Jul-21,332.3,25-Sep-20
JYOTHYLAB,EQ,187.3,06-Jul-21,128,04-Nov-20
JYOTISTRUC,BZ,15.45,05-Aug-21,1.9,07-Sep-20
KABRAEXTRU,EQ,242,20-Jul-21,53,05-Aug-20
KAJARIACER,EQ,1054.9,14-Jun-21,397.1,14-Aug-20
KAKATCEM,EQ,319.9,11-Jun-21,136.45,24-Sep-20
KALPATPOWR,EQ,496,03-Aug-21,224.25,07-Aug-20
KALYANIFRG,BE,239.65,09-Jun-21,123.6,18-Nov-20
KALYANKJIL,EQ,89.75,09-Jun-21,56.3,07-May-21
KAMATHOTEL,EQ,57.1,08-Jun-21,26.75,24-Sep-20
KAMDHENU,EQ,194.9,03-Aug-21,65.25,05-Oct-20
KANANIIND,BE,14.85,07-Jul-21,2.7,12-Nov-20
KANORICHEM,EQ,196.1,02-Aug-21,31,05-Aug-20
KANPRPLA,EQ,307,28-Jul-21,96.35,20-Jan-21
KANSAINER,EQ,680,21-Jan-21,430,05-Aug-20
KAPSTON,BE,131.35,24-Sep-20,73.15,13-Aug-20
KARDA,BE,211.85,04-Aug-21,74.1,05-Aug-20
KARMAENG,EQ,35,05-Aug-21,8,09-Nov-20
KARURVYSYA,EQ,64.55,12-Mar-21,29.3,13-Oct-20
KAUSHALYA,EQ,3.95,05-Aug-21,1.25,11-May-21
KAVVERITEL,EQ,2.9,05-Aug-21,1.65,08-Mar-21
KAYA,EQ,548.3,15-Jul-21,198,25-Sep-20
KCP,EQ,169,03-Aug-21,56.25,24-Sep-20
